product_concept_key,product_name,core_family,product_form,sku_count,scent_identity_status,scent_identity_values,note_status,note_values,scent_profile_status,scent_profile_values,function_status,function_values,function_evidence_fields,scene_status,scene_values,scene_evidence_fields,user_need_status,user_need_values,user_need_evidence_fields,care_status,care_values,care_evidence_fields,inspiration_status,inspiration_evidence_fields,material_status,material_values,material_evidence_fields,craft_status,craft_evidence_fields,compatibility_status,evidence_field_count,evidence_fields,direct_semantic_dimension_count,manual_review_flags,source_url
CANDLECO1::香氛蜡烛木梨,香氛蜡烛-木梨,家居香氛,经典香氛蜡烛,1,none,,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/quince-candle-remavp.html
CANDLECR1::香氛蜡烛胡荽,香氛蜡烛-胡荽,家居香氛,经典香氛蜡烛,1,none,,none,,direct,草本香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/coriander-candle-remavp.html
CANDLECY1::香氛蜡烛墨西哥橙花,香氛蜡烛-墨西哥橙花,家居香氛,经典香氛蜡烛,1,direct,橙花,none,,direct,花香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/fleur-d-oranger-orange-blossom-candle-remavp.html
CANDLECYPRES::迷你香氛蜡烛柏树,迷你香氛蜡烛-柏树,家居香氛,迷你香氛蜡烛,1,none,,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/petite-bougie-cypres-1.html
CANDLECYPRES::香氛蜡烛柏树,香氛蜡烛-柏树,家居香氛,经典香氛蜡烛,1,none,,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/cypres-cypress-candle-1-remavp.html
CANDLEEU1::香氛蜡烛尤加利,香氛蜡烛-尤加利,家居香氛,经典香氛蜡烛,1,none,,none,,direct,木质香调,candidate,扩香,,none,,,direct,空间清新,pdp_long_description,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/eucalyptus-candle-remavp.html
CANDLEFB15001::超大号香氛蜡烛炭木香,超大号香氛蜡烛-炭木香,家居香氛,超大号香氛蜡烛,1,direct,炭木香,none,,direct,木质香调,direct,留香,pdp_short_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|首次燃烧,caracteristics_text|usage_tips_text,direct,story_text,none,,,none,,none,5,pdp_short_description|pdp_long_description|usage_tips_text|story_text|caracteristics_text,5,care_instruction_not_product_function,https://www.diptyque-cn.com/p/feu-de-bois-wood-fire-interior-exterior-candle.html
CANDLEFB600::大号香氛蜡烛炭木香,大号香氛蜡烛-炭木香,家居香氛,大号香氛蜡烛,1,direct,炭木香,none,,direct,木质香调,direct,留香,pdp_short_description|usage_tips_text,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,5,care_instruction_not_product_function,https://www.diptyque-cn.com/p/feu-de-bois-wood-fire-candle-600g.html
CANDLEFB::迷你香氛蜡烛炭木香,迷你香氛蜡烛-炭木香,家居香氛,迷你香氛蜡烛,1,direct,炭木香,none,,direct,木质香调,direct,留香,pdp_short_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/feu-de-bois-wood-fire-small-candle.html
CANDLEFB::香氛蜡烛炭木香,香氛蜡烛-炭木香,家居香氛,经典香氛蜡烛,1,direct,炭木香,none,,direct,木质香调,direct,留香,pdp_short_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/bougie-feu-de-bois-190g-remavp.html
